id,query,gui_index,WorkerId
386,web brower with list,16227,A1R6ELRI4GR9XF
219,Tabs layout preview,22974,A1NW9UWTFS14S5
34,healthcare pulse app,25921,A2KNN0T650FQ01
266,contact details form,48069,A2KNN0T650FQ01
57,Navigation app with setting location and destination,52332,A26BOJ0O91EIBR
190,trending page,59599,A1FV1XP2UU0EVH
384,Sidebar with homepage and other options,69790,A13HTFAO25P3U4
149,Spanish news with figuers and search option,58638,AVRMXTZHUCXXL
192,side panel with share and settings,64805,A1R6ELRI4GR9XF
101,Setting screen of a time planer,48465,A11B0Q26E3U79M
122,Customer support notofication page,3232,A2G11CAPXX5616
118,"Application with weekly ad, rewards, account, products and projects that can be add to My List",57640,A26BOJ0O91EIBR
59,dictionary page  with words shown,27349,A2TXLKAOJJ9BEK
367,complete your melody,46619,A1NFUUQF4T9KXM
93,the latest updates of football matches,35010,A6KII16FVGPFF
238,2D model of solunar clock,54641,A3CP44KT0KLT69
177,arabican news overview with articles,52520,A1NFUUQF4T9KXM
289,Timer with play button,32372,A1R6ELRI4GR9XF
144,short tutorial and instructions for a game with option to go back to previous menu,33529,A2NA5304C0C5FQ
352,calculator,67804,A1250SSIMRQ3JA
449,starting screen of Amino,48492,A1NFUUQF4T9KXM
272,learning and play piano online,47226,ASL3NA8PT15JU
363,weather notification with toggle button,16844,AFWYEWB3W0ZSB
222,settings and options in a Gym App,1009,A1JBSNWSI7VKQO
79,Buy atlanta falcons jersey,23362,ASL3NA8PT15JU
264,Web ad for an children learning app,55867,A11B0Q26E3U79M
369,my playlist,71956,A6KII16FVGPFF
92,show map,51065,ASL3NA8PT15JU
351,snapchat startup interface with login and sign up options,16082,AV5170KNIBKL6
274,accounting software with excel file output format,35396,A8PRJZR3J6UTF
204,Startup screen with login & sign up options and a logo,53946,A12EE9K9VY7XXF
250,settings to adjust,6007,A1NW9UWTFS14S5
300,a panel app window with its points,25084,ABREXWFU9D3WR
197,expense manager,48868,A1FV1XP2UU0EVH
125,Months of a year from January to November with a radio button to choose,15298,A2NA5304C0C5FQ
88,informative list contents,53447,A1NW9UWTFS14S5
417,Gallery app with thumbnails overview,45705,A1CLIAQI9N8YOJ
136,A guy picture on a social network,46313,ABOC5IITA7DV1
319,page that display the questions  with options,30849,A2TXLKAOJJ9BEK
454,Advertisment of FedEx,28977,A1JBSNWSI7VKQO
47,Fashion dressing ideas with image overview,9800,A1CLIAQI9N8YOJ
29,search bar with list of computer accessories categories,50895,AFWTKS209SFQY
90,Menstrual calendar with body temperature,28339,A13HTFAO25P3U4
26,Genesis + Book + Android,32448,A1250SSIMRQ3JA
75,best food recipes,45732,A23IXWZNWDLTNT
5,Selection of Doctor's Specialization,34401,AE2M19TCQJWI
298,music,1506,A20EIK9C477PTC
384,Product description and shipping information,4151,A3G2CWQ5OV8AHE
63,"option bar, multiple preview of data",23868,A8BH4CXKWP6PW
179,"tourist app, discover world places, countries and cities",5728,A1CLIAQI9N8YOJ
36,bookmark,9332,A20EIK9C477PTC
272,add location by pinning the place,17342,A1UOWWUH9WVUOH
168,"Expandable List item and Bottom Nav bar with Live, history, Stat, Check No. and More Items",26913,A1QOJGSZEZXSE1
80,Information with detailed explanation text of fitness exercises and a corresponding graphic,42594,A12EE9K9VY7XXF
21,near  important places,33755,A23IXWZNWDLTNT
416,login page,54204,A20EIK9C477PTC
91,"weather details with temperature, pressure and relative humidity",682,AFWYEWB3W0ZSB
164,Overview over own accounts and the amount of money on them,13111,A3CP44KT0KLT69
1,application submission screen for successfully submitted application,53044,A3HN5JOPRIKMNU
275,summery  of a questionnaire,41735,ABREXWFU9D3WR
117,Media with no search results,32286,A34Z73OAWYW014
453,turkish car sales website,24320,A2KNN0T650FQ01
8,shopping app with item weight description,20618,A8PRJZR3J6UTF
305,strike count threshold with disabling  feature and limits ranging from 1 to 50,62782,A2NA5304C0C5FQ
205,choise of interest,5725,A8BH4CXKWP6PW
85,open with notification with paly store or browser,28811,A1R6ELRI4GR9XF
152,directory for saving contact information of various establishments,61559,A1UOWWUH9WVUOH
260,Chinese salad recipes,6394,ASL3NA8PT15JU
116,weight loss foods blog,68510,AFWYEWB3W0ZSB
211,Libary list with the united states of america,39940,A36COHZCHGHYD3
226,pop up ads,28890,A27GOFWHEHV758
49,Mobile Home Screen Background,31772,AE2M19TCQJWI
74,"Shop for Men's,Women's and Kids",34152,AVRMXTZHUCXXL
24,"create, search or download anime girls images",31677,AFWTKS209SFQY
54,celebrity news,41197,A2KNN0T650FQ01
285,screen with sample movies and information on recording with SnapMovie,19996,A3G2CWQ5OV8AHE
365,Ui for user profile,34040,A2G11CAPXX5616
109,sports news overview,21660,AFWTKS209SFQY
3,home appliances,53473,A6KII16FVGPFF
7,"diaper-magen with style, color and texture",37086,A2TXLKAOJJ9BEK
187,File explorer with recently accessed image files sorted chronologically,52282,A2NA5304C0C5FQ
324,Sending Email to Selected Recipient's,40342,AE2M19TCQJWI
54,Information with sharing and saving option,53446,A3HN5JOPRIKMNU
457,Management,62831,A20EIK9C477PTC
27,Navigation Drawer,33826,A12EE9K9VY7XXF
60,page not found report with search bar and recent posts,10135,A1WH1CTOZHV7YR
126,android news website,13860,A2KNN0T650FQ01
198,"SOY LUNA MUSICA-Disney Channel Latin America, all shows and broadcast musical TV series",37235,A3TTSFVAJHM947
462,"Menu bar with change platform, home, squad builder, consumables, tax calculator, TOTW and about",26337,A36COHZCHGHYD3
32,Pop up share area of an online shop,26099,A11B0Q26E3U79M
19,UI for share and add location screen,22076,A2G11CAPXX5616
221,pay screen for adding money into a paytm account,1102,A1UOWWUH9WVUOH
68,Healthy Food options to add in daily Plan,30133,A32ATJF7ZENBWH
141,a screen with information about particular app,3951,ABREXWFU9D3WR
12,Hushed-Login this app......you enter a new world of foods,34202,A3TTSFVAJHM947
375,Using our advanced ovulation calculator online is the most reliable way of knowing your ovulation date,16992,A3TTSFVAJHM947
203,flight preferences San Francisco to New York and search tickets button,2720,A3G2CWQ5OV8AHE
430,Period and fertility forecast with cycle length,15359,A13HTFAO25P3U4
299,Map for atms,66118,A20EIK9C477PTC
321,audio editor with harmony function,27752,A8PRJZR3J6UTF
233,menu providing different buttons to change the settings and to get more information,68952,A3CP44KT0KLT69
220,daily sport program,59557,A23IXWZNWDLTNT
65,AN android app,66756,A1JBSNWSI7VKQO
456,zone with different area,62008,A1P9OU1YPIQVW7
145,cars seller with location button,30614,A3CUDF4JR3QTS4
17,customer complaint service,39347,A2KNN0T650FQ01
194,login screen with email and password or via facebook or google,34164,A1NFUUQF4T9KXM
155,option screen with user account,59841,A3G2CWQ5OV8AHE
349,cover page of book with author name,49770,A2TXLKAOJJ9BEK
128,create customized emoji,283,AFWTKS209SFQY
81,online dating,64832,A1FV1XP2UU0EVH
22,stopwatch with timer,36635,AFWYEWB3W0ZSB
20,my profile in Azar application,69388,AV5170KNIBKL6
341,"social app with ask me, gender, ask me, chat options",50317,A32ATJF7ZENBWH
423,"saving items with complete , complete this group manually or exit",43202,A1R6ELRI4GR9XF
191,Product listing with main filter,28092,A3HN5JOPRIKMNU
80,verify entered information before proceeding,34225,AFWTKS209SFQY
404,music instruments with highest reviews,36063,A8PRJZR3J6UTF
210,task scheduler app showing task handlers,33943,A8PRJZR3J6UTF
346,search cellular locations,23326,A3CR6XU8373Z2N
412,Scientific Calculator Mobile Application,8899,AE2M19TCQJWI
207,football match details with upcoming match information,10579,AV5170KNIBKL6
327,buying boats,15039,A6KII16FVGPFF
67,"A Social media app with options like chat, mute and Followers",11396,A32ATJF7ZENBWH
103,timetable with title and place,63425,A1R6ELRI4GR9XF
55,choose thw word preferences,59124,A3CR6XU8373Z2N
156,"Read Qurâ€˜an, Last read history, search specific parts,prayer time,settings",8904,A3IP4RARMM3X4A
292,displays the latest news in page,79,A2TXLKAOJJ9BEK
295,news,64920,A20EIK9C477PTC
2,"search bar with links ,articles and personal option",9370,A3NDKVYPTBWPEO
119,music score chart with audio,2153,A8PRJZR3J6UTF
28,Weather details for city with option in Celsius and Fahrenheit,2768,A2NA5304C0C5FQ
123,Tutorial for dog training,46851,A1NW9UWTFS14S5
202,Music playlist,44035,AVRMXTZHUCXXL
359,a survery app with sinup and facebook login option,9551,A32ATJF7ZENBWH
50,"Delivery details input boxes for address and buttons for home, work or other",66919,A3G2CWQ5OV8AHE
240,online shopping app,69252,A2KNN0T650FQ01
23,More options for user,65727,A34Z73OAWYW014
353,Vippi GUI sign up interface,38658,A23IXWZNWDLTNT
195,"Text (story) reading with formatting options, search functionality",27223,A12EE9K9VY7XXF
133,Login with radio button with calendar,22878,A3NDKVYPTBWPEO
77,Location with location selected as current location,56197,A34Z73OAWYW014
108,books,14877,A20EIK9C477PTC
199,login with username and password,41866,A1WH1CTOZHV7YR
381,Open the application using a password,12738,A3IP4RARMM3X4A
192,headlines tody,25862,A27GOFWHEHV758
143,Find friends,69561,ASL3NA8PT15JU
299,Tiny Scanner,60292,A1NFUUQF4T9KXM
236,search bar with serch list and home menus,16224,A2G11CAPXX5616
172,find your current location,42138,A23IXWZNWDLTNT
