id,query,WorkerId
386,web brower with list,A1R6ELRI4GR9XF
219,Tabs layout preview,A1NW9UWTFS14S5
34,healthcare pulse app,A2KNN0T650FQ01
266,contact details form,A2KNN0T650FQ01
57,Navigation app with setting location and destination,A26BOJ0O91EIBR
190,trending page,A1FV1XP2UU0EVH
384,Sidebar with homepage and other options,A13HTFAO25P3U4
149,Spanish news with figuers and search option,AVRMXTZHUCXXL
192,side panel with share and settings,A1R6ELRI4GR9XF
101,Setting screen of a time planer,A11B0Q26E3U79M
122,Customer support notofication page,A2G11CAPXX5616
118,"Application with weekly ad, rewards, account, products and projects that can be add to My List",A26BOJ0O91EIBR
59,dictionary page  with words shown,A2TXLKAOJJ9BEK
367,complete your melody,A1NFUUQF4T9KXM
93,the latest updates of football matches,A6KII16FVGPFF
238,2D model of solunar clock,A3CP44KT0KLT69
177,arabican news overview with articles,A1NFUUQF4T9KXM
289,Timer with play button,A1R6ELRI4GR9XF
144,short tutorial and instructions for a game with option to go back to previous menu,A2NA5304C0C5FQ
352,calculator,A1250SSIMRQ3JA
449,starting screen of Amino,A1NFUUQF4T9KXM
272,learning and play piano online,ASL3NA8PT15JU
363,weather notification with toggle button,AFWYEWB3W0ZSB
222,settings and options in a Gym App,A1JBSNWSI7VKQO
79,Buy atlanta falcons jersey,ASL3NA8PT15JU
264,Web ad for an children learning app,A11B0Q26E3U79M
369,my playlist,A6KII16FVGPFF
92,show map,ASL3NA8PT15JU
351,snapchat startup interface with login and sign up options,AV5170KNIBKL6
274,accounting software with excel file output format,A8PRJZR3J6UTF
204,Startup screen with login & sign up options and a logo,A12EE9K9VY7XXF
250,settings to adjust,A1NW9UWTFS14S5
300,a panel app window with its points,ABREXWFU9D3WR
197,expense manager,A1FV1XP2UU0EVH
125,Months of a year from January to November with a radio button to choose,A2NA5304C0C5FQ
88,informative list contents,A1NW9UWTFS14S5
417,Gallery app with thumbnails overview,A1CLIAQI9N8YOJ
136,A guy picture on a social network,ABOC5IITA7DV1
319,page that display the questions  with options,A2TXLKAOJJ9BEK
454,Advertisment of FedEx,A1JBSNWSI7VKQO
47,Fashion dressing ideas with image overview,A1CLIAQI9N8YOJ
29,search bar with list of computer accessories categories,AFWTKS209SFQY
90,Menstrual calendar with body temperature,A13HTFAO25P3U4
26,Genesis + Book + Android,A1250SSIMRQ3JA
75,best food recipes,A23IXWZNWDLTNT
5,Selection of Doctor's Specialization,AE2M19TCQJWI
298,music,A20EIK9C477PTC
384,Product description and shipping information,A3G2CWQ5OV8AHE
63,"option bar, multiple preview of data",A8BH4CXKWP6PW
179,"tourist app, discover world places, countries and cities",A1CLIAQI9N8YOJ
36,bookmark,A20EIK9C477PTC
272,add location by pinning the place,A1UOWWUH9WVUOH
168,"Expandable List item and Bottom Nav bar with Live, history, Stat, Check No. and More Items",A1QOJGSZEZXSE1
80,Information with detailed explanation text of fitness exercises and a corresponding graphic,A12EE9K9VY7XXF
21,near  important places,A23IXWZNWDLTNT
416,login page,A20EIK9C477PTC
91,"weather details with temperature, pressure and relative humidity",AFWYEWB3W0ZSB
164,Overview over own accounts and the amount of money on them,A3CP44KT0KLT69
1,application submission screen for successfully submitted application,A3HN5JOPRIKMNU
275,summery  of a questionnaire,ABREXWFU9D3WR
117,Media with no search results,A34Z73OAWYW014
453,turkish car sales website,A2KNN0T650FQ01
8,shopping app with item weight description,A8PRJZR3J6UTF
305,strike count threshold with disabling  feature and limits ranging from 1 to 50,A2NA5304C0C5FQ
205,choise of interest,A8BH4CXKWP6PW
85,open with notification with paly store or browser,A1R6ELRI4GR9XF
152,directory for saving contact information of various establishments,A1UOWWUH9WVUOH
260,Chinese salad recipes,ASL3NA8PT15JU
116,weight loss foods blog,AFWYEWB3W0ZSB
211,Libary list with the united states of america,A36COHZCHGHYD3
226,pop up ads,A27GOFWHEHV758
49,Mobile Home Screen Background,AE2M19TCQJWI
74,"Shop for Men's,Women's and Kids",AVRMXTZHUCXXL
24,"create, search or download anime girls images",AFWTKS209SFQY
54,celebrity news,A2KNN0T650FQ01
285,screen with sample movies and information on recording with SnapMovie,A3G2CWQ5OV8AHE
365,Ui for user profile,A2G11CAPXX5616
109,sports news overview,AFWTKS209SFQY
3,home appliances,A6KII16FVGPFF
7,"diaper-magen with style, color and texture",A2TXLKAOJJ9BEK
187,File explorer with recently accessed image files sorted chronologically,A2NA5304C0C5FQ
324,Sending Email to Selected Recipient's,AE2M19TCQJWI
54,Information with sharing and saving option,A3HN5JOPRIKMNU
457,Management,A20EIK9C477PTC
27,Navigation Drawer,A12EE9K9VY7XXF
60,page not found report with search bar and recent posts,A1WH1CTOZHV7YR
126,android news website,A2KNN0T650FQ01
198,"SOY LUNA MUSICA-Disney Channel Latin America, all shows and broadcast musical TV series",A3TTSFVAJHM947
462,"Menu bar with change platform, home, squad builder, consumables, tax calculator, TOTW and about",A36COHZCHGHYD3
32,Pop up share area of an online shop,A11B0Q26E3U79M
19,UI for share and add location screen,A2G11CAPXX5616
221,pay screen for adding money into a paytm account,A1UOWWUH9WVUOH
68,Healthy Food options to add in daily Plan,A32ATJF7ZENBWH
141,a screen with information about particular app,ABREXWFU9D3WR
12,Hushed-Login this app......you enter a new world of foods,A3TTSFVAJHM947
375,Using our advanced ovulation calculator online is the most reliable way of knowing your ovulation date,A3TTSFVAJHM947
203,flight preferences San Francisco to New York and search tickets button,A3G2CWQ5OV8AHE
430,Period and fertility forecast with cycle length,A13HTFAO25P3U4
299,Map for atms,A20EIK9C477PTC
321,audio editor with harmony function,A8PRJZR3J6UTF
233,menu providing different buttons to change the settings and to get more information,A3CP44KT0KLT69
220,daily sport program,A23IXWZNWDLTNT
65,AN android app,A1JBSNWSI7VKQO
456,zone with different area,A1P9OU1YPIQVW7
145,cars seller with location button,A3CUDF4JR3QTS4
17,customer complaint service,A2KNN0T650FQ01
194,login screen with email and password or via facebook or google,A1NFUUQF4T9KXM
155,option screen with user account,A3G2CWQ5OV8AHE
349,cover page of book with author name,A2TXLKAOJJ9BEK
128,create customized emoji,AFWTKS209SFQY
81,online dating,A1FV1XP2UU0EVH
22,stopwatch with timer,AFWYEWB3W0ZSB
20,my profile in Azar application,AV5170KNIBKL6
341,"social app with ask me, gender, ask me, chat options",A32ATJF7ZENBWH
423,"saving items with complete , complete this group manually or exit",A1R6ELRI4GR9XF
191,Product listing with main filter,A3HN5JOPRIKMNU
80,verify entered information before proceeding,AFWTKS209SFQY
404,music instruments with highest reviews,A8PRJZR3J6UTF
210,task scheduler app showing task handlers,A8PRJZR3J6UTF
346,search cellular locations,A3CR6XU8373Z2N
412,Scientific Calculator Mobile Application,AE2M19TCQJWI
207,football match details with upcoming match information,AV5170KNIBKL6
327,buying boats,A6KII16FVGPFF
67,"A Social media app with options like chat, mute and Followers",A32ATJF7ZENBWH
103,timetable with title and place,A1R6ELRI4GR9XF
55,choose thw word preferences,A3CR6XU8373Z2N
156,"Read Qurâ€˜an, Last read history, search specific parts,prayer time,settings",A3IP4RARMM3X4A
292,displays the latest news in page,A2TXLKAOJJ9BEK
295,news,A20EIK9C477PTC
2,"search bar with links ,articles and personal option",A3NDKVYPTBWPEO
119,music score chart with audio,A8PRJZR3J6UTF
28,Weather details for city with option in Celsius and Fahrenheit,A2NA5304C0C5FQ
123,Tutorial for dog training,A1NW9UWTFS14S5
202,Music playlist,AVRMXTZHUCXXL
359,a survery app with sinup and facebook login option,A32ATJF7ZENBWH
50,"Delivery details input boxes for address and buttons for home, work or other",A3G2CWQ5OV8AHE
240,online shopping app,A2KNN0T650FQ01
23,More options for user,A34Z73OAWYW014
353,Vippi GUI sign up interface,A23IXWZNWDLTNT
195,"Text (story) reading with formatting options, search functionality",A12EE9K9VY7XXF
133,Login with radio button with calendar,A3NDKVYPTBWPEO
77,Location with location selected as current location,A34Z73OAWYW014
108,books,A20EIK9C477PTC
199,login with username and password,A1WH1CTOZHV7YR
381,Open the application using a password,A3IP4RARMM3X4A
192,headlines tody,A27GOFWHEHV758
143,Find friends,ASL3NA8PT15JU
299,Tiny Scanner,A1NFUUQF4T9KXM
236,search bar with serch list and home menus,A2G11CAPXX5616
172,find your current location,A23IXWZNWDLTNT
