id,query,gui_index_1,gui_index_2,gui_index_3,gui_index_4,gui_index_5,gui_index_6,gui_index_7,gui_index_8,gui_index_9,gui_index_10,gui_index_11,gui_index_12,gui_index_13,gui_index_14,gui_index_15
386,web brower with list,21441,19602,16574,26074,53717,64331,26072,63902,41097,68942,27596,36486,18797,62985,24750
219,Tabs layout preview,36327,47402,19988,36328,27590,19987,3917,51353,28701,28540,31783,67999,35337,27833,31047
34,healthcare pulse app,62002,42672,26814,43377,31029,42671,35342,44746,63983,57850,63989,63637,63650,42972,26815
266,contact details form,29981,64300,49918,10286,64299,59279,66696,71431,15867,11921,54543,15038,32351,39054,15043
57,Navigation app with setting location and destination,55489,54497,52329,16321,5772,43706,16317,70060,65308,25717,63928,65302,9717,45434,1086
190,trending page,13880,29710,9161,38911,40125,48240,62118,36458,9154,37681,41400,44708,37665,41401,2131
384,Sidebar with homepage and other options,67559,17819,18457,67553,41355,45615,48902,30463,55491,67561,45735,58241,17057,30944,18455
149,Spanish news with figuers and search option,17475,4668,49332,21947,4645,49344,26078,11569,49338,47655,4656,49335,30071,11580,49334
192,side panel with share and settings,50471,16244,58146,67254,16253,39600,52733,16243,39603,53871,23934,18042,62857,16251,18891
101,Setting screen of a time planer,65302,60660,8239,70060,56055,12415,49276,23582,49534,4194,11299,54257,65726,37550,12616
122,Customer support notofication page,11090,70857,41171,28822,39395,35572,12072,48827,3521,35290,47944,11320,40882,16893,6930
118,"Application with weekly ad, rewards, account, products and projects that can be add to My List",57651,10476,23579,40882,12316,16,6911,21186,53541,6910,13556,20783,8092,38736,53547
59,dictionary page  with words shown,61340,61327,28511,61312,8890,28481,71913,1269,27413,60012,61336,18467,71908,61326,27410
367,complete your melody,20322,2071,13799,50696,23117,69703,50230,65833,32262,854,23116,39255,50697,32265,1947
93,the latest updates of football matches,63812,19621,33805,3223,8297,8192,57926,6581,20858,56081,39006,199,800,644,1054
238,2D model of solunar clock,10126,69797,67529,38688,23601,47241,33457,3294,68730,17913,54647,47242,47254,18248,40998
177,arabican news overview with articles,25989,22381,10777,10809,36610,8214,9553,36594,44256,34318,36559,12033,10803,26779,48736
289,Timer with play button,56799,3535,37256,2026,33779,42781,70185,9515,63601,2020,37083,63599,53233,8401,12865
144,short tutorial and instructions for a game with option to go back to previous menu,71260,26853,5941,30408,20422,57146,72175,26854,58017,57149,12228,50994,51477,71256,28029
352,calculator,13616,14230,16989,18385,60470,13613,13615,16991,39794,61055,38846,18386,45827,16987,24333
449,starting screen of Amino,41426,22514,59942,30211,70178,119,48506,70191,10274,44996,2018,10648,30214,70181,52920
272,learning and play piano online,5368,28365,35826,66742,35469,54361,50056,58940,11744,69231,21021,39480,27261,32130,39479
363,weather notification with toggle button,63599,54841,54834,18590,57963,21247,6640,32,65447,61236,13490,51276,70185,9540,35
222,settings and options in a Gym App,45962,1010,32998,33132,18467,32997,8252,29160,2601,55121,2610,66489,30328,12166,18535
79,Buy atlanta falcons jersey,40660,21302,32411,17404,43110,19720,17828,36628,54931,43251,23361,66199,7590,59069,49463
264,Web ad for an children learning app,56662,13654,35469,47748,48783,54361,21573,58940,1187,60473,7280,11744,51719,68265,39480
369,my playlist,17621,3905,494,9981,2112,50228,55665,2113,504,26477,3896,50233,17623,61926,13389
92,show map,41480,51331,24475,881,53159,2754,13259,1756,49502,63529,53389,13160,61043,54541,48325
351,snapchat startup interface with login and sign up options,20517,10624,33411,7293,68460,17834,62001,39920,61301,315,39909,34308,63045,39919,34307
274,accounting software with excel file output format,58371,24766,46842,23612,20535,39446,50648,3366,54738,31033,67898,55963,2067,24767,38564
204,Startup screen with login & sign up options and a logo,20517,9921,33411,41917,29509,22111,17834,58936,38933,45525,10624,61301,64136,20233,21042
250,settings to adjust,1042,53087,35066,16041,41138,8878,37448,3929,36988,65290,62887,9236,9231,65791,1380
300,a panel app window with its points,25089,67556,14494,30846,36074,14492,44775,52283,43126,44773,56042,53261,27510,65148,24573
197,expense manager,67404,67406,35518,12880,67409,8462,26054,49085,43696,64621,67394,43708,35872,67396,29946
125,Months of a year from January to November with a radio button to choose,48591,11977,60445,64533,15356,51056,11640,57993,70036,11642,49022,12409,56729,60976,43422
88,informative list contents,49867,60601,1286,14545,41249,14054,34373,41244,26954,14551,45108,945,19421,21488,64533
417,Gallery app with thumbnails overview,34874,41796,5907,30954,62,55540,64951,41799,27544,19638,24046,53431,64957,5676,53780
136,A guy picture on a social network,26880,3161,5873,25133,18439,38591,28831,31853,3328,7632,10592,22820,34603,34614,22816
319,page that display the questions  with options,44431,30245,59472,54286,56440,59470,44436,37797,2274,32498,71647,52303,6888,60424,54197
454,Advertisment of FedEx,68224,14416,28977,28977,24190,24191,24192,72218,24188,24189,24194,24187,24186,24185,24184
47,Fashion dressing ideas with image overview,6405,56781,27544,9511,48754,5907,52945,56784,25989,37690,4185,44253,52947,38667,43614
29,search bar with list of computer accessories categories,46361,69252,65653,22726,40110,39453,9040,8593,54531,15876,8599,49639,9286,53466,16665
90,Menstrual calendar with body temperature,22869,69898,35129,22874,69896,35128,22881,60076,35130,22890,14255,44316,22886,14250,47788
26,Genesis + Book + Android,3912,34374,24453,6383,22319,40927,16684,4465,45335,6389,29546,44576,28508,4460,45333
75,best food recipes,56498,9271,60611,42422,31441,60613,43417,42421,13722,43424,6391,60614,14226,9269,35915
5,Selection of Doctor's Specialization,71752,51743,17225,41119,65906,27091,24078,5775,44732,9138,60471,33768,31803,55961,69913
298,music,36221,58954,36218,70553,66742,70538,21909,65894,36222,70548,53910,3348,5368,21904,58944
384,Product description and shipping information,45521,42438,46766,40100,15155,25525,45733,3499,36855,30793,33057,36856,4556,33059,32420
63,"option bar, multiple preview of data",10097,34078,22596,2748,21310,22591,16222,26938,49336,39081,21311,49332,62664,21304,49344
179,"tourist app, discover world places, countries and cities",54556,56265,66553,35849,19259,62895,54548,10196,66552,54555,14594,10215,40902,54072,20147
36,bookmark,28617,56739,9990,32768,63074,62742,22208,66750,18448,46383,12844,65294,40780,12836,23669
272,add location by pinning the place,3924,64897,61703,43193,64891,28124,59525,71246,8574,50631,3920,62872,43184,9898,58770
168,"Expandable List item and Bottom Nav bar with Live, history, Stat, Check No. and More Items",39563,12215,11346,39551,26915,57274,54259,56151,8748,12265,49543,49538,54249,71608,22727
80,Information with detailed explanation text of fitness exercises and a corresponding graphic,24724,13178,58734,16658,8252,50750,61960,63225,31803,9531,61619,16379,52316,17212,14056
21,near  important places,40678,52949,38746,62260,15689,44269,12394,12195,9909,61696,8575,7384,69000,12193,47302
416,login page,22253,28631,39998,65674,17569,47741,31776,31153,141,15939,42360,30102,35225,7809,71940
91,"weather details with temperature, pressure and relative humidity",33215,26022,65446,51071,36332,54924,29312,58869,58863,66541,54533,68011,37413,34111,25849
164,Overview over own accounts and the amount of money on them,43707,53604,25989,24648,70291,44253,16825,49408,20907,24649,31134,10278,27547,44120,48754
1,application submission screen for successfully submitted application,19228,71687,51503,19231,31080,51511,58170,51523,67493,22967,6243,17331,17346,57615,7722
275,summery  of a questionnaire,58942,58940,42098,43556,43249,28768,42112,43248,2886,51784,28770,51775,51783,2887,58274
117,Media with no search results,14777,46601,42442,15336,14769,28539,42447,42458,20890,13816,33825,28546,71742,67287,44443
453,turkish car sales website,64633,15658,48087,11850,21118,19643,59841,15663,14019,50019,26691,8272,51359,16525,8262
8,shopping app with item weight description,19345,19347,70143,23918,54992,4188,59836,13407,10423,33929,47931,70149,70137,47930,71578
305,strike count threshold with disabling  feature and limits ranging from 1 to 50,62781,38382,49520,6769,38384,49525,50593,10821,49013,32262,59736,28265,14581,10820,28267
205,choise of interest,9286,4296,65473,18383,18566,2194,64828,47712,31258,64832,62098,31271,64827,9398,2849
85,open with notification with paly store or browser,69446,2735,26474,17431,41314,61816,53915,57363,51276,55550,34400,50903,40665,2591,59823
152,directory for saving contact information of various establishments,41333,42402,908,21336,68999,66228,38051,42407,46777,16295,64931,11921,47400,46697,29376
260,Chinese salad recipes,60972,59019,30057,59014,6395,29838,43431,43426,59927,917,52069,56501,10057,59930,17378
116,weight loss foods blog,216,68508,52137,8339,50341,51764,60614,112,59311,41578,41577,23131,41583,135,35127
211,Libary list with the united states of america,61437,30380,42908,11521,30381,9307,10192,59357,63830,71081,25055,51608,24973,54445,51606
226,pop up ads,53672,52107,56749,13681,72152,56778,66937,40304,41586,43239,33223,14372,5067,14375,9030
49,Mobile Home Screen Background,67266,70742,7601,13947,64414,4396,1812,38807,39114,43272,57349,47474,45674,36103,41770
74,"Shop for Men's,Women's and Kids",17860,25923,39575,12421,67659,3495,12424,50964,33044,24213,479,2453,34549,481,11267
24,"create, search or download anime girls images",53221,39116,37654,65,25213,1616,8860,28442,40156,10274,41180,41416,19079,36821,37655
54,celebrity news,1570,36553,1565,39166,62454,43051,35531,62518,18870,62374,50097,43821,35532,41590,43824
285,screen with sample movies and information on recording with SnapMovie,37882,15197,65053,37883,32983,20162,65944,32986,44941,17186,23149,44923,6132,67071,20161
365,Ui for user profile,10203,40556,3701,10217,68081,17151,7740,18858,27614,7653,40818,15934,62147,60542,40349
109,sports news overview,48754,48736,44256,55539,33717,57896,9553,10803,6798,55534,20718,44257,21900,5174,46169
3,home appliances,30793,25966,66313,59601,25962,66310,23920,40668,58913,8599,9285,66314,8593,13575,28271
7,"diaper-magen with style, color and texture",47173,26005,59802,1959,34177,59800,6671,2434,54831,50030,63702,18240,26169,68848,65513
187,File explorer with recently accessed image files sorted chronologically,54738,64858,17087,18782,8855,17083,51541,47058,18784,67971,8853,18781,25311,47059,23988
324,Sending Email to Selected Recipient's,25007,6230,61895,23860,71721,48806,69560,28628,49173,58058,42163,4338,61906,28631,46656
54,Information with sharing and saving option,67334,65304,34569,7260,42402,67673,56004,42407,49336,3772,67440,49332,47400,23149,49344
457,Management,24628,59732,63779,42698,10222,16548,43736,98,15496,24631,36064,8776,34345,36069,59228
27,Navigation Drawer,18426,64438,22112,18420,44279,1942,18427,64437,12110,18428,48305,24979,15537,64430,33039
60,page not found report with search bar and recent posts,23144,23143,38230,38224,49884,38231,68044,61891,9227,23135,71958,43019,31770,56624,36413
126,android news website,25465,71434,68818,14878,42541,1565,45838,16508,33438,44568,11492,33441,25433,26970,1575
198,"SOY LUNA MUSICA-Disney Channel Latin America, all shows and broadcast musical TV series",56998,26034,11384,57002,11383,70058,56985,61538,3989,57001,26031,3991,56994,35701,70056
462,"Menu bar with change platform, home, squad builder, consumables, tax calculator, TOTW and about",22487,20596,26771,71622,32400,43501,45602,26420,20602,45564,20599,62788,16819,67399,52617
32,Pop up share area of an online shop,42733,20634,9810,14300,31100,20632,34695,72152,56472,9505,1283,31101,38737,69954,9506
19,UI for share and add location screen,41625,31522,15312,49233,54405,67072,18958,29931,12167,15505,54388,39571,12147,54377,52054
221,pay screen for adding money into a paytm account,66606,53608,29719,66605,53604,69650,36052,28533,44471,38784,999,64636,44120,7254,20807
68,Healthy Food options to add in daily Plan,66544,8328,27984,8334,19171,60609,29386,28638,60611,3413,11698,60613,66532,34125,71635
141,a screen with information about particular app,57846,71653,29727,43988,41306,18821,25421,56795,47400,62563,59483,7601,25035,40420,45674
12,Hushed-Login this app......you enter a new world of foods,60609,28243,31693,5254,45636,57016,8347,23432,28001,59843,23431,20714,70145,21435,17024
375,Using our advanced ovulation calculator online is the most reliable way of knowing your ovulation date,61983,22892,61115,20676,22891,61118,69900,16985,44016,22870,14252,44013,11323,14254,20602
203,flight preferences San Francisco to New York and search tickets button,50010,21454,2631,52414,18640,57686,2719,18650,28089,21124,18653,24370,39343,18652,12644
430,Period and fertility forecast with cycle length,69882,865,16961,22894,20676,60075,1732,57138,11318,22879,28308,29716,59134,7178,16960
299,Map for atms,66555,68989,7084,56256,17602,70756,24475,19692,60544,881,5316,13259,2754,13348,49502
321,audio editor with harmony function,37567,53013,13339,22689,53007,14191,68797,53003,22690,25497,15815,67446,26415,53018,67449
233,menu providing different buttons to change the settings and to get more information,60557,21573,44478,5706,60360,1380,25027,51748,57092,16204,60624,40104,45304,23123,71326
220,daily sport program,18948,42937,23854,51475,35030,57472,57889,6802,1015,61612,46167,35540,7138,46189,57460
65,AN android app,61871,55730,61159,30147,13987,61010,52193,52865,11152,61163,66865,38356,31937,50401,12956
456,zone with different area,3920,44100,20291,9648,39266,30612,16583,61694,10126,50596,17526,61624,27684,47470,25511
145,cars seller with location button,13924,10553,63601,32322,63306,25664,13922,65950,63599,36293,65963,12865,8272,40804,61236
17,customer complaint service,3453,2779,48522,45328,48828,3521,19154,2646,14466,12072,31332,40239,11090,25226,6930
194,login screen with email and password or via facebook or google,30191,315,64548,23735,37945,22253,32500,701,67194,29606,7293,46670,50472,5028,48089
155,option screen with user account,15880,62830,49344,58448,31145,49338,31125,41917,49335,6609,5887,49334,2827,68745,21880
349,cover page of book with author name,47750,48162,40834,6389,43749,57123,34198,2527,52610,38972,16680,52612,32542,27599,17390
128,create customized emoji,31028,6647,68796,34545,15851,70055,31021,32728,35910,1041,15833,70066,57129,66387,3423
81,online dating,43181,17292,64058,69989,17294,29625,38934,17287,56407,66461,17293,1281,28655,58537,42742
22,stopwatch with timer,37256,59309,17912,56799,70080,63066,63069,58751,8539,54493,58742,37257,8499,54200,37262
20,my profile in Azar application,15934,69380,19655,10024,69396,50317,30983,69378,19658,16842,69389,61377,64122,69383,5983
341,"social app with ask me, gender, ask me, chat options",13174,5983,41773,2452,5976,57095,1623,50314,57091,11648,10959,19646,31005,55008,57093
423,"saving items with complete , complete this group manually or exit",44357,53549,43860,43214,52112,13799,24735,23023,2071,29583,25973,69703,1229,65833,32262
191,Product listing with main filter,32426,69328,69258,24220,71129,32422,51324,24214,69265,65920,7605,69261,20638,7613,69278
80,verify entered information before proceeding,31247,27982,15684,40877,3208,15697,71313,56173,54678,51365,63092,998,70487,57265,61767
404,music instruments with highest reviews,68646,34283,70547,48982,12920,3515,46471,3218,70546,58946,10634,58956,7737,10635,70544
210,task scheduler app showing task handlers,908,27776,60047,36070,58656,43886,15945,43894,6554,49895,58663,58655,48832,32276,58676
346,search cellular locations,48095,3742,40444,26910,42745,42728,31101,176,50631,50150,19134,24755,8923,56702,22859
412,Scientific Calculator Mobile Application,34179,48002,16993,10150,50163,34181,10141,13351,16989,61055,54528,51615,62838,16982,10144
207,football match details with upcoming match information,57925,54752,13896,57923,54755,13895,15554,51475,13915,19834,30719,13898,43109,10622,13903
327,buying boats,17158,29869,40799,35450,58083,40800,63307,9293,45563,63312,32816,32818,33621,28274,58123
67,"A Social media app with options like chat, mute and Followers",7632,56740,56973,33748,11389,65479,17091,62502,54068,24579,62504,32811,53259,56053,32810
103,timetable with title and place,63515,63519,32524,36133,32522,43558,3715,4846,10610,63516,8574,28150,35268,35331,28124
55,choose thw word preferences,27934,19320,11674,49342,29597,37849,37602,8151,66404,63390,9566,57064,35619,56933,16370
156,"Read Qurâ€˜an, Last read history, search specific parts,prayer time,settings",34380,23219,26154,15376,49616,20707,15378,49619,20708,72062,44170,46254,547,64528,5917
292,displays the latest news in page,36328,39554,71379,70822,56160,65007,68523,68023,18565,68818,1205,16515,36310,32890,42736
295,news,52520,17565,68816,34466,25205,43821,68874,18870,43824,68865,25199,51821,52519,25209,1575
2,"search bar with links ,articles and personal option",60516,54752,2783,19859,39160,49336,22059,9368,49332,22381,9369,49344,50563,12664,49338
119,music score chart with audio,31085,30010,27088,70544,64416,66226,22335,59384,66229,4599,45385,27089,70548,39494,62596
28,Weather details for city with option in Celsius and Fahrenheit,43248,54179,19707,28770,68867,34569,66541,29491,67673,37413,62291,55633,32859,47122,24375
123,Tutorial for dog training,40308,63805,5937,19699,68298,58017,58005,68291,17235,2743,47774,57146,13072,47777,48312
202,Music playlist,39041,50232,53824,34334,71958,14672,17621,71954,50228,26477,18213,494,860,71946,52900
359,a survery app with sinup and facebook login option,4305,57920,49335,69548,41917,49334,31769,25374,49336,71940,21577,49332,14680,62364,21880
50,"Delivery details input boxes for address and buttons for home, work or other",62030,51942,28235,4964,50166,24688,12061,61977,50925,61551,50165,13558,14913,51944,50930
240,online shopping app,14878,65922,4188,4183,65933,8052,57654,65937,21282,59834,65931,68402,52903,65915,59831
23,More options for user,6609,53107,27055,51704,16054,45959,58447,30648,10203,19704,33637,10217,65542,51952,52508
353,Vippi GUI sign up interface,54971,38807,20515,70750,18049,20107,29036,15805,45555,70847,68460,22352,7653,18050,58377
195,"Text (story) reading with formatting options, search functionality",13547,24136,16378,17595,6287,54135,46645,49611,54134,27506,26002,24016,32946,49612,24015
133,Login with radio button with calendar,22542,59568,35129,29481,71519,35128,9149,71512,35130,33336,64081,44316,54640,71515,47788
77,Location with location selected as current location,34928,37205,57777,56208,26443,57775,26230,37281,67073,1549,49229,48062,26928,66587,49233
108,books,40933,3938,22204,40929,3936,9988,7228,49720,25346,34198,14601,45365,71468,49723,40590
199,login with username and password,41260,71849,72145,43199,39242,28820,46748,43615,46746,11634,25643,43386,51629,60365,3254
381,Open the application using a password,60077,26211,62256,29487,65706,3440,32077,11520,1082,61440,15783,1083,55625,45556,26302
192,headlines tody,64127,41747,53212,64316,16846,40963,64120,57080,23908,10033,53208,61561,26933,58346,69983
143,Find friends,47273,64872,44125,20793,49624,20791,20796,16079,29524,15175,19595,20795,20792,63512,2304
299,Tiny Scanner,33692,42570,33504,40016,6787,62591,66344,60293,33506,6134,64676,59411,60307,60291,68681
236,search bar with serch list and home menus,33127,18218,9970,48955,18219,22767,11232,71429,43034,24745,47772,19113,20423,18215,21770
172,find your current location,32832,3739,66927,40679,20962,16129,43245,24591,49229,12036,51735,37281,48309,51730,28770
